Id,Predicted
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,1
